Nim				nim c --verbosity:0 -d:danger --passC:"-flto"  --passL:"-flto" --gc:arc <file-name>
Julia			julia -O3 --math-mode=ieee <file_name>
Zig				zig build-exe -OReleaseFast <file_name>
Rust			RUSTFLAGS="-C target-cpu=native" cargo build --release , but custom release profile in cargo.toml
Beef        	BeefBuild -config=Release
Crystal     	crystal build <file_name> --release
C++				g++ <file_name> -Ofast -march=native -mtune=native -ffast-math
C# 				dotnet build -c Release --no-self-contained
Odin			odin build <file_name> -file -opt:3
F#				dotnet build -c Release --no-self-contained
D				ldc2.exe -O3 -release -mcpu=native -march=x86-64 -flto=full -static -ffast-math <file_name>
Ada				gnatmake -O3 -fomit-frame-pointer -march=native -gnatNp -f <file_name>
V				v -prod <file_name>
JS/TS			node <file_name>
Fortran			gfortran -O3 -march=native -ipo -static -qopenmp <file_name>
C				gcc <file_name> -O3 -s -static -flto -march=native -mtune=native -fomit-frame-pointer -fno-signed-zeros -fno-trapping-math -fassociative-math -ffast-math
Go				go build <file_name>
Pascal			fpc -XXs -O3 -Ci- -Cr- -g- -CpCOREAVX -CfAVX <file_name>
Java			built from IDEA
Kotlin (JVM)	built from IDEA
Kotlin (Native)	kotlinc -opt <file_name>, but better to compile from IDEA
Dart			dart compile exe <file_name>
Python			python -OO <file_name>
Perl            perl <file_name>
Ruby			ruby <file_name>
Elixir          elixir <file_name>
Prolog          swipl -nodebug -g true -O --goal=main --stand_alone=true -o main.exe -c <file_name>
Haskell 		stack build
R				rscript <file_name>
PowerShell		./<file_name>
